angle_T,area_T,depth_t,num_levels,wet,x_T,y_T,lon,lat,ocean_zone,starting_particle_depth
0,109220992.6921746,69,11,1,153.64999999999554,-27.950000000000113,153.64999389648437,-27.950000762939453,6,65.66938018798828
0,109220992.6921746,90,13,1,153.74999999999557,-27.950000000000113,153.75,-27.950000762939453,6,85.01538848876953
0,109220992.6921746,179,22,1,153.84999999999553,-27.950000000000113,153.85000610351562,-27.950000762939453,6,175
0,109321970.96078989,15.007694787128038,3,1,153.44999999999555,-27.85000000000011,153.4499969482422,-27.850000381469727,6,12.5
0,109321970.96078989,52.586492157413076,9,1,153.54999999999558,-27.85000000000011,153.5500030517578,-27.850000381469727,6,48.45497512817383
0,109321970.96078989,76,12,1,153.64999999999554,-27.85000000000011,153.64999389648437,-27.850000381469727,6,75.167022705078125
0,109321970.96078989,90.00769478712803,13,1,153.74999999999557,-27.85000000000011,153.75,-27.850000381469727,6,85.01538848876953
0,109321970.96078989,189,23,1,153.84999999999553,-27.85000000000011,153.85000610351562,-27.850000381469727,6,185
0,109422616.21571943,15.007694787128038,3,1,153.44999999999555,-27.75000000000011,153.4499969482422,-27.75,6,12.5
0,109422616.21571943,52,9,1,153.54999999999558,-27.75000000000011,153.5500030517578,-27.75,6,48.45497512817383
0,109422616.21571943,78,12,1,153.64999999999554,-27.75000000000011,153.64999389648437,-27.75,6,75.167022705078125
0,109422616.21571943,100,14,1,153.74999999999557,-27.75000000000011,153.75,-27.75,6,95
0,109522928.15037623,44.70497655442571,8,1,153.54999999999558,-27.65000000000011,153.5500030517578,-27.649999618530273,6,40.95497512817383
0,109522928.15037623,79,12,1,153.64999999999554,-27.65000000000011,153.64999389648437,-27.649999618530273,6,75.167022705078125
0,109522928.15037623,116,16,1,153.74999999999557,-27.65000000000011,153.75,-27.649999618530273,6,115
0,109622906.45921212,36.19369356097924,7,1,153.54999999999558,-27.550000000000107,153.5500030517578,-27.549999237060547,6,34.2180061340332
0,109622906.45921212,79,12,1,153.64999999999554,-27.550000000000107,153.64999389648437,-27.549999237060547,6,75.167022705078125
0,109622906.45921212,140,18,1,153.74999999999557,-27.550000000000107,153.75,-27.549999237060547,6,135
0,109722550.83765359,25.091205283766385,5,1,153.54999999999558,-27.450000000000106,153.5500030517578,-27.450000762939453,5,22.667020797729492
0,109722550.83765359,80.09120528376639,12,1,153.64999999999554,-27.450000000000106,153.64999389648437,-27.450000762939453,5,75.167022705078125
0,109722550.83765359,165,21,1,153.74999999999557,-27.450000000000106,153.75,-27.450000762939453,5,155
0,109821860.98217846,15.007694787128038,3,1,153.44999999999555,-27.350000000000104,153.4499969482422,-27.350000381469727,5,12.5
0,109821860.98217846,52.586492157413076,9,1,153.54999999999558,-27.350000000000104,153.5500030517578,-27.350000381469727,5,48.45497512817383
0,109821860.98217846,98,14,1,153.64999999999554,-27.350000000000104,153.64999389648437,-27.350000381469727,5,95
0,109821860.98217846,187,23,1,153.74999999999557,-27.350000000000104,153.75,-27.350000381469727,5,185
0,109920836.59027556,15.007694787128038,3,1,153.24999999999557,-27.250000000000103,153.25,-27.25,5,12.5
0,109920836.59027556,15.007694787128038,3,1,153.3499999999956,-27.250000000000103,153.35000610351562,-27.25,5,12.5
0,109920836.59027556,20.007694787128038,4,1,153.44999999999555,-27.250000000000103,153.4499969482422,-27.25,5,17.515390396118164
0,109920836.59027556,70.41820017741736,11,1,153.54999999999558,-27.250000000000103,153.5500030517578,-27.25,5,65.66938018798828
0,109920836.59027556,120,16,1,153.64999999999554,-27.250000000000103,153.64999389648437,-27.25,5,115
0,110019477.36043574,15.007694787128038,3,1,153.24999999999557,-27.1500000000001,153.25,-27.149999618530273,5,12.5
0,110019477.36043574,15.007694787128038,3,1,153.3499999999956,-27.1500000000001,153.35000610351562,-27.149999618530273,5,12.5
0,110019477.36043574,20.007694787128038,4,1,153.44999999999555,-27.1500000000001,153.4499969482422,-27.149999618530273,5,17.515390396118164
0,110019477.36043574,80.09120528376639,12,1,153.54999999999558,-27.1500000000001,153.5500030517578,-27.149999618530273,5,75.167022705078125
0,110019477.36043574,147,19,1,153.64999999999554,-27.1500000000001,153.64999389648437,-27.149999618530273,5,145
0,110117782.99218932,15.007694787128038,3,1,153.24999999999557,-27.0500000000001,153.25,-27.049999237060547,5,12.5
0,110117782.99218932,15.007694787128038,3,1,153.3499999999956,-27.0500000000001,153.35000610351562,-27.049999237060547,5,12.5
0,110117782.99218932,15.007694787128038,3,1,153.44999999999555,-27.0500000000001,153.4499969482422,-27.049999237060547,5,12.5
0,110117782.99218932,90.00769478712803,13,1,153.54999999999558,-27.0500000000001,153.5500030517578,-27.049999237060547,5,85.01538848876953
0,110117782.99218932,169,21,1,153.64999999999554,-27.0500000000001,153.64999389648437,-27.049999237060547,5,165
0,110215753.18607932,20.007694787128038,4,1,153.24999999999557,-26.9500000000001,153.25,-26.950000762939453,5,17.515390396118164
0,110215753.18607932,25.418200177417372,5,1,153.3499999999956,-26.9500000000001,153.35000610351562,-26.950000762939453,5,22.667020797729492
0,110215753.18607932,30.418200177417372,6,1,153.44999999999555,-26.9500000000001,153.4499969482422,-26.950000762939453,5,28.16938018798828
0,110215753.18607932,105,15,1,153.54999999999558,-26.9500000000001,153.5500030517578,-26.950000762939453,5,95
0,110215753.18607932,188,23,1,153.64999999999554,-26.9500000000001,153.64999389648437,-26.950000762939453,5,185
0,110313387.64366601,15.007694787128038,3,1,153.1499999999956,-26.850000000000097,153.14999389648437,-26.850000381469727,5,12.5
0,110313387.64366601,30.418200177417372,6,1,153.24999999999557,-26.850000000000097,153.25,-26.850000381469727,5,28.16938018798828
0,110313387.64366601,44.70497655442571,8,1,153.3499999999956,-26.850000000000097,153.35000610351562,-26.850000381469727,5,40.95497512817383
0,110313387.64366601,61.19369356097924,10,1,153.44999999999555,-26.850000000000097,153.4499969482422,-26.850000381469727,5,56.7180061340332
0,110313387.64366601,110,15,1,153.54999999999558,-26.850000000000097,153.5500030517578,-26.850000381469727,5,105
0,110410686.06754908,15.007694787128038,3,1,153.1499999999956,-26.750000000000096,153.14999389648437,-26.75,5,12.5
0,110410686.06754908,31.19369356097924,6,1,153.24999999999557,-26.750000000000096,153.25,-26.75,5,28.16938018798828
0,110410686.06754908,49.70497655442571,9,1,153.3499999999956,-26.750000000000096,153.35000610351562,-26.75,5,48.45497512817383
0,110410686.06754908,61.19369356097924,10,1,153.44999999999555,-26.750000000000096,153.4499969482422,-26.75,5,56.7180061340332
0,110410686.06754908,110,15,1,153.54999999999558,-26.750000000000096,153.5500030517578,-26.75,5,105
0,110507648.16133174,37.586492157413076,7,1,153.24999999999557,-26.650000000000095,153.25,-26.649999618530273,5,34.2180061340332
0,110507648.16133174,52.586492157413076,9,1,153.3499999999956,-26.650000000000095,153.35000610351562,-26.649999618530273,5,48.45497512817383
