lat,lon,distance,rel_lat,rel_lon,rel_date,ParticleID,region,shelf,obs,zone7_landed
-31.32666778564453,153.8896942138672,521.06414794921875,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,16,Fail
-31.951414108276367,153.2972412109375,614.79473876953125,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,17,Fail
-32.73300552368164,152.9313201904297,711.180908203125,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,18,Fail
-33.641883850097656,152.3737335205078,826.73663330078125,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,19,Fail
-34.39731979370117,151.95040893554688,921.7901611328125,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,20,Fail
-34.90241241455078,151.69915771484375,986.6063232421875,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,21,Fail
-35.279510498046875,151.6234893798828,1035.0911865234375,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,22,Fail
-35.6469612121582,151.62826538085938,1082.2435302734375,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,23,Fail
-35.83811950683594,151.3468475341797,1124.312255859375,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,24,Fail
-36.19852828979492,150.97323608398438,1184.051025390625,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,25,Fail
-36.392852783203125,151.28111267089844,1232.6015625,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,26,Fail
-36.10395050048828,151.50274658203125,1279.1708984375,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,27,Fail
-35.912532806396484,151.41961669921875,1313.057861328125,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,28,Fail
-35.7512321472168,151.34539794921875,1344.9190673828125,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,29,Fail
-35.57524871826172,151.33551025390625,1378.0172119140625,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,30,Fail
-35.417301177978516,151.46470642089844,1411.6287841796875,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,31,Fail
-35.37818145751953,151.6371307373047,1443.000732421875,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,32,Fail
-35.52336120605469,151.8431396484375,1478.5830078125,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,33,Fail
-35.799415588378906,151.95355224609375,1519.0850830078125,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,34,Fail
-35.99855422973633,151.80030822753906,1555.860595703125,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,35,Fail
